2026-04-25 13:04:04 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\read_20260425_130135_transcription.txt
2026-04-25 13:04:05 | INFO     | main | Translating read.mp3 to English > French...
2026-04-25 13:06:02 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\read_20260425_130135_translated.txt
2026-04-25 13:06:02 | INFO     | main | Summarising read.mp3...
2026-04-25 13:06:27 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\read_20260425_130135_summary.txt
2026-04-25 13:06:53 | INFO     | main | --------------------------------------------------------
2026-04-25 13:06:53 | INFO     | main | Found 1 audio file(s) in C:\AudioIntel\input-voice\read.mp3
2026-04-25 13:06:53 | INFO     | main | Initialising engines...
2026-04-25 13:07:49 | INFO     | main | Transcribing read.mp3...
2026-04-25 13:12:19 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\read_20260425_130749_transcription.txt
2026-04-25 13:12:21 | INFO     | main | Translating read.mp3 to English > German...
2026-04-25 13:15:21 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\read_20260425_130749_translated.txt
2026-04-25 13:15:21 | INFO     | main | Summarising read.mp3...
2026-04-25 13:25:48 | INFO     | main | --------------------------------------------------------
2026-04-25 13:25:48 | INFO     | main | Found 1 audio file(s) in C:\AudioIntel\input-voice\read.mp3
2026-04-25 13:25:48 | INFO     | main | Initialising engines...
2026-04-25 13:25:58 | INFO     | main | Transcribing read.mp3...
2026-04-25 13:28:20 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\read_20260425_132558_transcription.txt
2026-04-25 13:28:20 | INFO     | main | Translating read.mp3 to English > Malay...
2026-04-25 13:29:30 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\read_20260425_132558_translated.txt
2026-04-25 13:29:31 | INFO     | main | Summarising read.mp3...
2026-04-25 13:29:56 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\read_20260425_132558_summary.txt
2026-04-25 13:30:30 | INFO     | main | --------------------------------------------------------
2026-04-25 13:30:30 | INFO     | main | Found 1 audio file(s) in C:\AudioIntel\input-voice\read.mp3
2026-04-25 13:30:30 | INFO     | main | Initialising engines...
2026-04-25 13:30:43 | INFO     | main | Transcribing read.mp3...
2026-04-25 13:30:44 | INFO     | main | --------------------------------------------------------
2026-04-25 13:30:44 | INFO     | main | Found 1 audio file(s) in C:\AudioIntel\input-voice\read.mp3
2026-04-25 13:30:44 | INFO     | main | Initialising engines...
2026-04-25 13:31:21 | INFO     | main | Transcribing read.mp3...
2026-04-25 13:36:04 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\read_20260425_133121_transcription.txt
2026-04-25 13:36:06 | INFO     | main | Translating read.mp3 to English > German...
2026-04-25 13:36:32 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\read_20260425_133043_transcription.txt
2026-04-25 13:38:01 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\read_20260425_133121_translated.txt
2026-04-25 13:38:02 | INFO     | main | Summarising read.mp3...
2026-04-25 13:38:22 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\read_20260425_133121_summary.txt
2026-04-25 13:41:13 | INFO     | main | --------------------------------------------------------
2026-04-25 13:41:13 | INFO     | main | Found 1 audio file(s) in C:\AudioIntel\input-voice\read.mp3
2026-04-25 13:41:13 | INFO     | main | Initialising engines...
2026-04-25 13:41:27 | INFO     | main | Transcribing read.mp3...
2026-04-25 13:44:50 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\read_20260425_134127_transcription.txt
2026-04-25 13:44:51 | INFO     | main | Translating read.mp3 to English > French...
2026-04-25 13:48:00 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\read_20260425_134127_translated.txt
2026-04-25 13:48:01 | INFO     | main | Summarising read.mp3...
2026-04-25 13:48:19 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\read_20260425_134127_summary.txt
2026-04-25 13:48:56 | INFO     | main | --------------------------------------------------------
2026-04-25 13:48:56 | INFO     | main | Found 1 audio file(s) in C:\AudioIntel\input-voice\read.mp3
2026-04-25 13:48:56 | INFO     | main | Initialising engines...
2026-04-25 13:49:23 | INFO     | main | Transcribing read.mp3...
2026-04-25 13:53:31 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\read_20260425_134923_transcription.txt
2026-04-25 13:53:36 | INFO     | main | Translating read.mp3 to English > Arabic...
2026-04-25 13:56:27 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\read_20260425_134923_translated.txt
2026-04-25 13:56:28 | INFO     | main | Summarising read.mp3...
2026-04-25 13:57:17 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\read_20260425_134923_summary.txt
2026-04-25 13:59:26 | INFO     | main | --------------------------------------------------------
2026-04-25 13:59:26 | INFO     | main | Found 1 audio file(s) in C:\AudioIntel\input-voice\read.mp3
2026-04-25 13:59:26 | INFO     | main | Initialising engines...
2026-04-25 13:59:42 | INFO     | main | Transcribing read.mp3...
2026-04-25 14:01:33 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\read_20260425_135942_transcription.txt
2026-04-25 14:01:34 | INFO     | main | Translating read.mp3 to English > Chinese...
2026-04-25 14:03:10 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\read_20260425_135942_translated.txt
2026-04-25 15:20:52 | INFO     | main | --------------------------------------------------------
2026-04-25 15:20:52 | INFO     | main | Found 1 audio file(s) in C:\AudioIntel\input-voice\read.mp3
2026-04-25 15:20:52 | INFO     | main | Initialising engines...
2026-04-25 15:21:04 | INFO     | main | Transcribing read.mp3...
2026-04-25 15:22:37 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\read_20260425_152104_transcription.txt
2026-04-25 15:22:37 | INFO     | main | Translating read.mp3 to English > Malay...
2026-04-25 15:23:56 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\read_20260425_152104_translated.txt
2026-04-25 15:23:56 | INFO     | main | Summarising read.mp3...
2026-04-25 15:24:21 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\read_20260425_152104_summary.txt
2026-04-25 16:28:03 | INFO     | main | --------------------------------------------------------
2026-04-25 16:28:03 | INFO     | main | Found 1 audio file(s) in C:\AudioIntel\input-voice\travel.mp3
2026-04-25 16:28:03 | INFO     | main | Initialising engines...
2026-04-25 16:28:13 | INFO     | main | Transcribing travel.mp3...
2026-04-25 16:36:21 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\travel_20260425_162813_transcription.txt
2026-04-25 16:36:21 | INFO     | main | Translating travel.mp3 to English > Malay...
2026-04-25 16:45:18 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\travel_20260425_162813_translated.txt
2026-04-25 16:45:19 | INFO     | main | Summarising travel.mp3...
2026-04-25 16:45:49 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\travel_20260425_162813_summary.txt
2026-04-26 11:32:45 | INFO     | main | --------------------------------------------------------
2026-04-26 11:32:45 | INFO     | main | Found 1 audio file(s) in C:/AudioIntel/input-voice/driving.mp3
2026-04-26 11:32:45 | INFO     | main | Initialising engines...
2026-04-26 11:32:54 | INFO     | main | Transcribing driving.mp3...
2026-04-26 11:37:58 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\driving_20260426_113254_transcription.txt
2026-04-26 11:37:59 | INFO     | main | Summarising driving.mp3...
2026-04-26 11:38:23 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\driving_20260426_113254_summary.txt
2026-04-26 11:43:01 | INFO     | main | --------------------------------------------------------
2026-04-26 11:43:01 | INFO     | main | Found 1 audio file(s) in C:/AudioIntel/input-voice/driving.mp3
2026-04-26 11:43:01 | INFO     | main | Initialising engines...
2026-04-26 11:43:15 | INFO     | main | Transcribing driving.mp3...
2026-04-26 11:49:25 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\driving_20260426_114315_transcription.txt
2026-04-26 11:49:26 | INFO     | main | Translating driving.mp3 to English > Malay...
2026-04-26 11:53:48 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\driving_20260426_114315_translated.txt
2026-04-26 11:53:50 | INFO     | main | Summarising driving.mp3...
2026-04-26 11:54:21 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\driving_20260426_114315_summary.txt
2026-04-26 20:06:02 | INFO     | main | --------------------------------------------------------
2026-04-26 20:06:02 | INFO     | main | Found 1 file(s) in C:/AudioIntel/input-voice/driving.mp3
2026-04-26 20:06:02 | INFO     | main | Initialising engines...
2026-04-26 20:06:14 | INFO     | main | Transcribing driving.mp3...
2026-04-26 20:08:53 | INFO     | main | --------------------------------------------------------
2026-04-26 20:08:53 | INFO     | main | Found 1 file(s) in C:/AudioIntel/input-voice/driving.mp3
2026-04-26 20:08:53 | INFO     | main | Initialising engines...
2026-04-26 20:09:52 | INFO     | main | Transcribing driving.mp3...
2026-04-26 20:40:46 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\driving_20260426_200952_transcription.txt
2026-04-26 20:40:57 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\driving_20260426_200614_transcription.txt
2026-04-26 20:50:40 | INFO     | main | --------------------------------------------------------
2026-04-26 20:50:40 | INFO     | main | Found 1 file(s) in C:/AudioIntel/input-voice/driving.mp3
2026-04-26 20:50:40 | INFO     | main | Initialising engines...
2026-04-26 20:50:49 | INFO     | main | Transcribing driving.mp3...
2026-04-26 20:56:31 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\driving_20260426_205049_transcription.txt
2026-04-26 20:56:32 | INFO     | main | Translating driving.mp3 to English > Arabic...
2026-04-26 21:00:31 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\driving_20260426_205049_translated.txt
2026-04-26 21:00:33 | INFO     | main | Summarising driving.mp3...
2026-04-26 21:01:06 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\driving_20260426_205049_summary.txt
2026-04-26 21:19:43 | INFO     | main | --------------------------------------------------------
2026-04-26 21:19:43 | INFO     | main | Found 1 file(s) in C:/AudioIntel/input-voice/driving.mp3
2026-04-26 21:19:43 | INFO     | main | Initialising engines...
2026-04-26 21:19:52 | INFO     | main | Transcribing driving.mp3...
2026-04-26 21:24:49 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\driving_20260426_211952_transcription.txt
2026-04-26 21:24:49 | INFO     | main | Translating driving.mp3 to English > Chinese...
2026-04-26 21:26:45 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\driving_20260426_211952_translated.txt
2026-04-26 21:26:45 | INFO     | main | Summarising driving.mp3...
2026-04-26 21:27:10 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\driving_20260426_211952_summary.txt
2026-04-26 21:27:10 | INFO     | main | Pipeline complete.
2026-04-26 22:24:28 | INFO     | main | --------------------------------------------------------
2026-04-26 22:24:28 | INFO     | main | Found 1 file(s) in C:/AudioIntel/input-voice/read.mp3
2026-04-26 22:24:28 | INFO     | main | Initialising engines...
2026-04-26 22:24:35 | INFO     | main | Transcribing read.mp3...
2026-04-26 22:27:02 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\read_20260426_222435_transcription.txt
2026-04-26 22:27:03 | INFO     | main | Translating read.mp3 to English > Chinese...
2026-04-26 22:28:18 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\read_20260426_222435_translated.txt
2026-04-26 22:28:18 | INFO     | main | Summarising read.mp3...
2026-04-26 22:29:06 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\read_20260426_222435_summary.txt
2026-04-26 22:29:06 | INFO     | main | Pipeline complete.
2026-04-26 22:32:42 | INFO     | main | --------------------------------------------------------
2026-04-26 22:32:42 | INFO     | main | Found 1 file(s) in C:/AudioIntel/input-voice/read.mp3
2026-04-26 22:32:42 | INFO     | main | Initialising engines...
2026-04-26 22:32:54 | INFO     | main | Transcribing read.mp3...
2026-04-26 22:34:28 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\read_20260426_223254_transcription.txt
2026-04-26 22:34:29 | INFO     | main | Translating read.mp3 to English > Chinese...
2026-04-26 22:35:30 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\read_20260426_223254_translated.txt
2026-04-26 22:35:31 | INFO     | main | Summarising read.mp3...
2026-04-26 22:35:53 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\read_20260426_223254_summary.txt
2026-04-26 22:35:53 | INFO     | main | Pipeline complete.
2026-04-26 22:36:39 | INFO     | main | --------------------------------------------------------
2026-04-26 22:36:39 | INFO     | main | Found 1 file(s) in C:/AudioIntel/input-voice/travel.mp3
2026-04-26 22:36:39 | INFO     | main | Initialising engines...
2026-04-26 22:36:50 | INFO     | main | Transcribing travel.mp3...
2026-04-26 22:59:14 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\travel_20260426_223650_transcription.txt
2026-04-26 22:59:15 | INFO     | main | Translating travel.mp3 to English > Chinese...
2026-04-26 23:04:51 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\travel_20260426_223650_translated.txt
2026-04-26 23:04:52 | INFO     | main | Summarising travel.mp3...
2026-04-26 23:05:20 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\travel_20260426_223650_summary.txt
2026-04-26 23:05:20 | INFO     | main | Pipeline complete.
2026-04-27 17:45:12 | INFO     | main | --------------------------------------------------------
2026-04-27 17:45:12 | INFO     | main | Found 13 file(s) in C:/AudioIntel/input-voice
2026-04-27 17:45:12 | INFO     | main | Initialising engines...
2026-04-27 17:45:21 | INFO     | main | Transcribing conversation-01.mp3...
2026-04-27 17:47:41 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\conversation-01_20260427_174521_transcription.txt
2026-04-27 17:47:42 | INFO     | main | Translating conversation-01.mp3 to English > Malay...
2026-04-27 17:49:44 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\conversation-01_20260427_174521_translated.txt
2026-04-27 17:49:45 | INFO     | main | Summarising conversation-01.mp3...
2026-04-27 17:50:05 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\conversation-01_20260427_174521_summary.txt
2026-04-27 17:50:05 | INFO     | main | Transcribing conversation-02.mp3...
2026-04-27 17:50:05 | ERROR    | main | Pipeline error: 'NoneType' object has no attribute 'decode'
Traceback (most recent call last):
  File "C:\AudioIntel\app\main.py", line 207, in <module>
    result     = transcriber.transcribe(
                 ^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\AudioIntel\app\transcriber.py", line 73, in transcribe
    result = self._transcribe_with_progress(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\AudioIntel\app\transcriber.py", line 104, in _transcribe_with_progress
    original_decode = self.model.decode # type: ignore
                      ^^^^^^^^^^^^^^^^^
AttributeError: 'NoneType' object has no attribute 'decode'
2026-04-27 17:59:36 | INFO     | main | --------------------------------------------------------
2026-04-27 17:59:36 | INFO     | main | Found 13 file(s) in C:/AudioIntel/input-voice
